@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
14,28,32,5,11,16,0,0,0,5025,10,311,40,56,B
2,2,6,5,11,16,0,0,0,4041,3425,348,179,324,A
8,11,11,4,10,15,0,0,0,1168,3309,255,139,90,A
0,8,19,0,6,12,7,14,21,6093,462,264,1,2513,A
0,3,5,0,2,8,0,0,0,1513,356,587,9,527,A
11,22,30,6,12,18,14,30,44,41348,6137,3497,446,2269,B
20,23,29,6,12,18,7,15,22,93204,482,19944,1605,4426,B
15,23,28,6,11,18,0,8,15,93204,482,19944,1605,4426,B
15,22,26,6,11,17,0,0,0,766,9,137,40,33,A
22,25,31,5,11,17,0,0,0,766,9,137,40,33,B
5,8,14,4,10,16,0,0,0,16551,649,843,302,7313,A
7,13,15,6,12,18,0,0,0,16551,649,843,302,7313,A
22,40,49,6,12,18,7,15,22,3687,9,460,30,85,C
11,15,20,6,12,18,0,0,0,15835,2395,1406,387,263,A
7,11,14,6,12,18,0,0,0,15835,2395,1406,387,263,B
14,22,27,5,11,18,7,15,23,41464,162,4975,196,704,B
20,32,40,5,11,17,14,30,46,3975,20,361,44,69,B
20,31,37,5,11,17,0,0,0,3975,20,361,44,69,A
16,23,30,3,10,15,8,15,24,16551,649,843,302,7313,B
0,5,21,0,4,9,6,14,21,2167,38,166,121,407,C
20,27,31,6,12,18,7,16,23,97303,1576,26429,615,20977,C
5,10,13,5,11,18,0,0,0,16551,649,843,302,7313,A
20,34,37,5,11,17,7,16,23,78198,739,5047,291,864,B
3,4,7,5,11,17,0,0,0,15835,2395,1406,387,263,A
3,10,14,5,10,17,0,0,0,15835,2395,1406,387,263,A
